OBJ:-0.0  -  TIME: 1 s.
OBJ:9551963.0  -  TIME: 2 s.
OBJ:9761451.0  -  TIME: 2 s.
OBJ:9780578.0  -  TIME: 2 s.
OBJ:9782098.0  -  TIME: 2 s.
OBJ:9784189.0  -  TIME: 2 s.
OBJ:9789122.0  -  TIME: 2 s.
OBJ:9790407.0  -  TIME: 2 s.
OBJ:9797706.0  -  TIME: 2 s.
OBJ:9797900.0  -  TIME: 3 s.
OBJ:9797908.0  -  TIME: 3 s.
OBJ:9797923.0  -  TIME: 3 s.
OBJ:9797939.0  -  TIME: 3 s.
OBJ:9801733.0  -  TIME: 17 s.
OBJ:9802719.0  -  TIME: 18 s.
OBJ:9802846.0  -  TIME: 18 s.
OBJ:9804265.0  -  TIME: 18 s.
OBJ:9804377.0  -  TIME: 19 s.
OBJ:9804383.0  -  TIME: 19 s.
OBJ:9804543.0  -  TIME: 21 s.
OBJ:9804558.0  -  TIME: 21 s.
OBJ:9804771.0  -  TIME: 21 s.
OBJ:9804886.0  -  TIME: 25 s.
OBJ:9804896.0  -  TIME: 25 s.
