;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob1_050_040_060_005_015_01;7009296;0.00;101;0;0.00;101;239;0;21.58;0;0.36;0;;0.00;0;0;0.41;0;0.58;0
prob1_050_040_060_005_015_02;8940572;0.00;101;0;0.00;101;257;0;26.13;0;0.16;0;;0.00;0;0;0.24;0;0.30;0
prob1_050_040_060_005_015_03;8560415;0.00;101;0;0.00;101;232;0;24.60;0;0.19;0;;0.00;0;0;0.16;0;0.28;0
prob1_050_040_060_005_015_04;6861494;0.00;101;0;0.00;101;208;0;22.13;0;0.35;0;;0.00;0;0;0.34;0;0.45;0
prob1_050_040_060_005_015_05;7349535;0.00;101;0;0.00;101;238;0;24.24;0;0.17;0;;0.00;0;0;0.19;0;0.34;0
prob1_050_040_060_005_015_06;8416761;0.00;101;0;0.00;101;199;0;26.14;0;0.17;0;;0.00;0;0;0.18;0;0.36;0
prob1_050_040_060_005_015_07;7723697;0.00;101;0;0.00;101;221;0;26.03;0;0.24;0;;0.00;0;0;0.26;0;0.50;0
prob1_050_040_060_005_015_08;6697850;0.00;101;0;0.00;101;231;0;19.50;0;0.25;0;;0.00;0;0;0.28;0;0.54;0
prob1_050_040_060_005_015_09;6631876;0.00;105;0;0.00;101;231;0;18.82;0;0.23;0;;0.00;0;0;0.26;0;0.49;0
prob1_050_040_060_005_015_10;6049640;0.00;101;0;0.00;101;234;0;19.58;0;0.26;0;;0.00;0;0;0.28;0;0.51;0
prob1_050_040_060_015_025_01;5752178;0.00;125;0;0.00;101;282;0;25.69;0;0.21;0;;0.00;0;0;0.23;0;0.42;0
prob1_050_040_060_015_025_02;5370970;0.00;101;0;0.00;101;285;0;22.05;0;0.17;0;;0.00;0;0;0.19;0;0.34;0
prob1_050_040_060_015_025_03;5026821;0.00;133;0;0.00;101;278;0;22.92;0;0.22;0;;0.00;0;0;0.23;0;0.45;0
prob1_050_040_060_015_025_04;6034049;0.00;101;0;0.00;101;312;0;24.77;0;0.24;0;;0.00;0;0;0.30;0;0.48;0
prob1_050_040_060_015_025_05;6972636;0.00;101;0;0.00;101;228;0;26.77;0;0.31;0;;0.00;0;0;0.33;0;0.47;0
prob1_050_040_060_015_025_06;5115975;0.00;101;0;0.00;101;301;0;21.03;0;0.28;0;;0.00;0;0;0.20;0;0.37;0
prob1_050_040_060_015_025_07;4623181;0.00;141;0;0.00;101;251;0;20.69;0;0.22;0;;0.00;0;0;0.23;0;0.44;0
prob1_050_040_060_015_025_08;5322296;0.00;101;0;0.00;101;276;0;20.33;0;0.21;0;;0.00;0;0;0.20;0;0.45;0
prob1_050_040_060_015_025_09;6482173;0.00;111;0;0.00;101;192;0;23.20;0;0.23;0;;0.00;0;0;0.27;0;0.43;0
prob1_050_040_060_015_025_10;5832383;0.00;117;0;0.00;101;269;0;22.66;0;0.24;0;;0.00;0;0;0.26;0;0.49;0
prob1_050_040_060_025_035_01;4129750;0.00;219;0;0.01;105;266;0;24.43;0;0.22;0;;0.00;0;0;0.23;0;0.45;0
prob1_050_040_060_025_035_02;4152935;0.00;105;0;0.00;105;284;0;19.75;0;0.23;0;;0.00;0;0;0.25;0;0.49;0
prob1_050_040_060_025_035_03;4771628;0.00;101;0;0.00;101;299;0;24.61;0;0.29;0;;0.00;0;0;0.28;0;0.50;0
prob1_050_040_060_025_035_04;4725627;0.00;105;0;0.00;107;276;0;25.27;0;0.25;0;;0.00;0;0;0.29;0;0.53;0
prob1_050_040_060_025_035_05;3873796;0.00;203;0;0.01;107;268;0;19.98;0;0.23;0;;0.00;0;0;0.32;0;0.44;0
prob1_050_040_060_025_035_06;3948088;0.00;195;0;0.01;149;285;0;19.04;0;0.25;0;;0.00;0;0;0.37;0;0.56;0
prob1_050_040_060_025_035_07;4978034;0.00;101;0;0.00;101;274;0;27.59;0;0.23;0;;0.00;0;0;0.26;0;0.44;0
prob1_050_040_060_025_035_08;3960253;0.00;101;0;0.00;103;266;0;23.97;0;0.32;0;;0.00;0;0;0.39;0;0.45;0
prob1_050_040_060_025_035_09;4656286;0.00;175;0;0.00;101;276;0;27.03;0;0.24;0;;0.00;0;0;0.25;0;0.45;0
prob1_050_040_060_025_035_10;4694577;0.00;175;0;0.01;139;298;0;26.80;0;0.28;0;;0.00;0;0;0.30;0;0.53;0
prob1_050_040_060_035_045_01;2945473;0.00;221;0;0.01;165;285;0;19.94;0;0.21;0;;0.00;0;0;0.24;0;0.44;0
prob1_050_040_060_035_045_02;3095667;0.00;155;0;0.00;103;256;0;23.69;0;0.20;0;;0.00;0;0;0.22;0;0.41;0
prob1_050_040_060_035_045_03;3211082;0.00;169;0;0.01;169;319;0;20.67;0;0.24;0;;0.00;0;0;0.26;0;0.50;0
prob1_050_040_060_035_045_04;2695283;0.00;233;0;0.01;177;266;0;19.43;0;0.24;0;;0.00;0;0;0.28;0;0.50;0
prob1_050_040_060_035_045_05;2915232;0.00;101;0;0.00;101;251;0;21.96;0;0.17;0;;0.00;0;0;0.17;0;0.31;0
prob1_050_040_060_035_045_06;2753196;0.00;335;0;0.01;163;285;0;19.72;0;0.18;0;;0.00;0;0;0.19;0;0.36;0
prob1_050_040_060_035_045_07;2790482;0.00;159;0;0.00;101;248;0;19.69;0;0.19;0;;0.00;0;0;0.20;0;0.37;0
prob1_050_040_060_035_045_08;2902174;0.00;211;0;0.00;157;259;0;20.98;0;0.25;0;;0.00;0;0;0.28;0;0.49;0
prob1_050_040_060_035_045_09;3671723;0.00;233;0;0.01;147;265;0;26.77;0;0.20;0;;0.00;0;0;0.25;0;0.47;0
prob1_050_040_060_035_045_10;2663638;0.00;101;0;0.00;103;232;0;19.90;0;0.18;0;;0.00;0;0;0.20;0;0.37;0
prob1_050_090_110_005_015_01;14789986;0.00;101;0;0.00;101;288;0;94.17;0;0.34;0;;0.00;0;0;0.40;0;0.74;0
prob1_050_090_110_005_015_02;13504223;0.00;101;0;0.00;101;293;0;86.29;0;0.43;0;;0.00;0;0;0.47;0;0.90;0
prob1_050_090_110_005_015_03;14840944;0.00;101;0;0.00;101;293;0;94.99;0;0.46;0;;0.00;0;0;0.51;0;0.94;0
